song;replaced_with_GT;sdr_song;sdt_instr
Al James - Schoolboy Facination;[];3.8289094;[4.8072095 3.51515   1.1457978 5.8474803]
Al James - Schoolboy Facination;['bass'];31.859232;[116.9285      3.51515     1.1457978   5.8474803]
Al James - Schoolboy Facination;['drums'];31.768494;[  4.8072095 115.27348     1.1457978   5.8474803]
Al James - Schoolboy Facination;['other'];32.584835;[  4.8072095   3.51515   116.16951     5.8474803]
Al James - Schoolboy Facination;['vocals'];32.293663;[  4.8072095   3.51515     1.1457978 119.70649  ]
Al James - Schoolboy Facination;['bass', 'drums', 'other', 'vocals'];117.01949;[116.9285  115.27348 116.16951 119.70649]
The Mountaineering Club - Mallory;[];6.2368846;[5.901778  4.2193274 5.549469  9.276964 ]
The Mountaineering Club - Mallory;['bass'];34.712383;[119.80377     4.2193274   5.549469    9.276964 ]
The Mountaineering Club - Mallory;['drums'];34.649372;[  5.901778 117.86928    5.549469   9.276964]
The Mountaineering Club - Mallory;['other'];33.968887;[  5.901778    4.2193274 116.47748     9.276964 ]
The Mountaineering Club - Mallory;['vocals'];32.604725;[  5.901778    4.2193274   5.549469  114.74832  ]
The Mountaineering Club - Mallory;['bass', 'drums', 'other', 'vocals'];117.22471;[119.80377 117.86928 116.47748 114.74832]
Hollow Ground - Ill Fate;[];2.5528429;[-3.0235806  4.686766   1.4024284  7.1457577]
Hollow Ground - Ill Fate;['bass'];32.531292;[116.89022     4.686766    1.4024284   7.1457577]
Hollow Ground - Ill Fate;['drums'];30.250227;[ -3.0235806 115.4763      1.4024284   7.1457577]
Hollow Ground - Ill Fate;['other'];32.659718;[ -3.0235806   4.686766  121.829926    7.1457577]
Hollow Ground - Ill Fate;['vocals'];28.897171;[ -3.0235806   4.686766    1.4024284 112.52307  ]
Hollow Ground - Ill Fate;['bass', 'drums', 'other', 'vocals'];116.67988;[116.89022  115.4763   121.829926 112.52307 ]
Speak Softly - Like Horses;[];7.386146;[13.192388   4.4555287  5.30811    6.5885563]
Speak Softly - Like Horses;['bass'];34.48796;[121.59965     4.4555287   5.30811     6.5885563]
Speak Softly - Like Horses;['drums'];35.522797;[ 13.192388  117.00214     5.30811     6.5885563]
Speak Softly - Like Horses;['other'];36.519882;[ 13.192388    4.4555287 121.84305     6.5885563]
Speak Softly - Like Horses;['vocals'];36.24413;[ 13.192388    4.4555287   5.30811   122.02049  ]
Speak Softly - Like Horses;['bass', 'drums', 'other', 'vocals'];120.61633;[121.59965 117.00214 121.84305 122.02049]
PR - Oh No;[];1.4378214;[ 2.2560885   5.526643   -0.30386582 -1.7275798 ]
PR - Oh No;['bass'];29.798943;[115.70057      5.526643    -0.30386582  -1.7275798 ]
PR - Oh No;['drums'];30.004566;[  2.2560885  119.79362     -0.30386582  -1.7275798 ]
PR - Oh No;['other'];29.47341;[  2.2560885   5.526643  111.838486   -1.7275798]
PR - Oh No;['vocals'];27.69168;[  2.2560885    5.526643    -0.30386582 103.28786   ]
PR - Oh No;['bass', 'drums', 'other', 'vocals'];112.655136;[115.70057  119.79362  111.838486 103.28786 ]
Triviul feat. The Fiend - Widow;[];5.7957764;[9.9653225 4.0450997 2.10497   7.0677156]
Triviul feat. The Fiend - Widow;['bass'];32.87831;[118.295456    4.0450997   2.10497     7.0677156]
Triviul feat. The Fiend - Widow;['drums'];33.58547;[  9.9653225 115.20386     2.10497     7.0677156]
Triviul feat. The Fiend - Widow;['other'];33.8376;[  9.9653225   4.0450997 114.27227     7.0677156]
Triviul feat. The Fiend - Widow;['vocals'];33.9492;[  9.9653225   4.0450997   2.10497   119.68141  ]
Triviul feat. The Fiend - Widow;['bass', 'drums', 'other', 'vocals'];116.86325;[118.295456 115.20386  114.27227  119.68141 ]
Zeno - Signs;[];5.1171713;[0.95230436 7.091365   5.1121874  7.312828  ]
Zeno - Signs;['bass'];33.600555;[114.88583     7.091365    5.1121874   7.312828 ]
Zeno - Signs;['drums'];33.150444;[  0.95230436 119.224464     5.1121874    7.312828  ]
Zeno - Signs;['other'];34.166603;[  0.95230436   7.091365   121.30992      7.312828  ]
Zeno - Signs;['vocals'];33.21216;[  0.95230436   7.091365     5.1121874  119.69278   ]
Zeno - Signs;['bass', 'drums', 'other', 'vocals'];118.77825;[114.88583  119.224464 121.30992  119.69278 ]
Mu - Too Bright;[];6.4695086;[ 2.863933  11.500731   4.152648   7.3607235]
Mu - Too Bright;['bass'];33.663784;[111.64104    11.500731    4.152648    7.3607235]
Mu - Too Bright;['drums'];34.101227;[  2.863933  122.02762     4.152648    7.3607235]
Mu - Too Bright;['other'];34.86388;[  2.863933   11.500731  117.73014     7.3607235]
Mu - Too Bright;['vocals'];34.20504;[  2.863933  11.500731   4.152648 118.30286 ]
Mu - Too Bright;['bass', 'drums', 'other', 'vocals'];117.425415;[111.64104 122.02762 117.73014 118.30286]
Secretariat - Borderline;[];5.251999;[3.6045084 4.3660774 6.8170385 6.2203703]
Secretariat - Borderline;['bass'];33.54927;[116.793594    4.3660774   6.8170385   6.2203703]
Secretariat - Borderline;['drums'];33.078697;[  3.6045084 115.672874    6.8170385   6.2203703]
Secretariat - Borderline;['other'];34.34979;[  3.6045084   4.3660774 123.208206    6.2203703]
Secretariat - Borderline;['vocals'];33.51374;[  3.6045084   4.3660774   6.8170385 119.267334 ]
Secretariat - Borderline;['bass', 'drums', 'other', 'vocals'];118.735504;[116.793594 115.672874 123.208206 119.267334]
Bobby Nobody - Stitch Up;[];4.8983183;[3.8293848 4.930815  2.9313376 7.9017353]
Bobby Nobody - Stitch Up;['bass'];33.206455;[117.061935    4.930815    2.9313376   7.9017353]
Bobby Nobody - Stitch Up;['drums'];32.406475;[  3.8293848 114.96345     2.9313376   7.9017353]
Bobby Nobody - Stitch Up;['other'];33.55379;[  3.8293848   4.930815  117.55322     7.9017353]
Bobby Nobody - Stitch Up;['vocals'];31.864346;[  3.8293848   4.930815    2.9313376 115.76585  ]
Bobby Nobody - Stitch Up;['bass', 'drums', 'other', 'vocals'];116.33611;[117.061935 114.96345  117.55322  115.76585 ]
